Municipality,Population2010,District,Partial,ExcludeFromAnalysis,CensusPlaceCode
Alsip,19277,Southwest,FALSE,FALSE,01010
Arlington Heights,75101,North,FALSE,FALSE,02154
Barrington,5631,North,TRUE,FALSE,03844
Barrington Hills,2168,North,TRUE,FALSE,03883
Bartlett,16797,North,TRUE,FALSE,04013
Bedford Park,580,Southwest,FALSE,FALSE,04572
Bellwood,19071,West,FALSE,FALSE,04975
Bensenville,0,West,TRUE,TRUE,05248
Berkeley,5209,West,FALSE,FALSE,05404
Berwyn,56657,West,FALSE,FALSE,05573
Blue Island,23706,Southwest,FALSE,FALSE,06704
Bridgeview,16446,Southwest,FALSE,FALSE,08225
Broadview,7932,West,FALSE,FALSE,08446
Brookfield,18978,West,FALSE,FALSE,08576
Buffalo Grove,13644,North,TRUE,FALSE,09447
Burbank,28925,OOJ,FALSE,FALSE,09642
Burnham,4206,South,FALSE,FALSE,09798
Burr Ridge,3840,West,TRUE,FALSE,09980
Calumet City,37042,South,FALSE,FALSE,10487
Calumet Park,7835,Southwest,FALSE,FALSE,10513
Chicago,2695598,OOJ,FALSE,FALSE,14000
Chicago Heights,30276,South,FALSE,FALSE,14026
Chicago Ridge,14305,Southwest,FALSE,FALSE,14065
Cicero,83891,West,FALSE,FALSE,14351
Country Club Hills,16541,South,FALSE,FALSE,16691
Countryside,5895,West,FALSE,FALSE,16873
Crestwood,10950,Southwest,FALSE,FALSE,17497
Crete,0,South,TRUE,TRUE,17523
Deer Park,17,North,TRUE,TRUE,19083
Deerfield,172,North,TRUE,TRUE,18992
Des Plaines,58364,North,FALSE,FALSE,19642
Dixmoor,3644,South,FALSE,FALSE,20149
Dolton,23153,South,FALSE,FALSE,20292
East Dundee,0,North,TRUE,TRUE,21696
East Hazel Crest,1543,South,FALSE,FALSE,21904
Elgin,24032,North,TRUE,FALSE,23074
Elk Grove Village,33127,North,FALSE,FALSE,23256
Elmhurst,0,West,TRUE,TRUE,23620
Elmwood Park,24883,West,FALSE,FALSE,23724
Evanston,74486,OOJ,FALSE,FALSE,24582
Evergreen Park,19852,Southwest,FALSE,FALSE,24634
Flossmoor,9464,South,FALSE,FALSE,26571
Ford Heights,2763,South,FALSE,FALSE,26710
Forest Park,14167,West,FALSE,FALSE,26935
Forest View,698,OOJ,FALSE,FALSE,26987
Frankfort,0,South,TRUE,TRUE,27624
Franklin Park,18333,West,FALSE,FALSE,27702
Glencoe,8723,North,FALSE,FALSE,29652
Glenview,44692,North,FALSE,FALSE,29938
Glenwood,8969,South,FALSE,FALSE,30029
Golf,500,North,FALSE,FALSE,30328
Hanover Park,20636,North,TRUE,FALSE,32746
Harvey,25282,South,FALSE,FALSE,33383
Harwood Heights,8612,West,FALSE,FALSE,33435
Hazel Crest,14100,South,FALSE,FALSE,33695
Hickory Hills,14049,Southwest,FALSE,FALSE,34514
Highland Park,0,North,TRUE,TRUE,34722
Hillside,8157,West,FALSE,FALSE,35086
Hinsdale,2227,West,TRUE,FALSE,35307
Hodgkins,1897,West,FALSE,FALSE,35385
Hoffman Estates,51895,North,FALSE,FALSE,35411
Homer Glen,0,Southwest,TRUE,TRUE,35835
Hometown,4349,Southwest,FALSE,FALSE,35866
Homewood,19323,South,FALSE,FALSE,35879
Indian Head Park,3809,West,FALSE,FALSE,37257
Inverness,7399,North,FALSE,FALSE,37608
Justice,12926,Southwest,FALSE,FALSE,38830
Kenilworth,2513,North,FALSE,FALSE,39519
La Grange,15550,West,FALSE,FALSE,40767
La Grange Park,13579,West,FALSE,FALSE,40793
Lansing,28331,South,FALSE,FALSE,42028
Lemont,15987,Southwest,TRUE,FALSE,42795
Lincolnwood,12590,North,FALSE,FALSE,43744
Lynwood,9007,South,FALSE,FALSE,45421
Lyons,10729,West,FALSE,FALSE,45434
Markham,12508,South,FALSE,FALSE,47007
Matteson,19009,South,FALSE,FALSE,47540
Maywood,24090,West,FALSE,FALSE,47774
McCook,228,West,FALSE,FALSE,45564
Melrose Park,25411,West,FALSE,FALSE,48242
Merrionette Park,1900,Southwest,FALSE,FALSE,48554
Midlothian,14819,South,FALSE,FALSE,48892
Morton Grove,23270,North,FALSE,FALSE,50647
Mount Prospect,54167,North,FALSE,FALSE,51089
Niles,29803,North,FALSE,FALSE,53000
Norridge,14572,West,FALSE,FALSE,53377
North Riverside,6672,West,FALSE,FALSE,54144
Northbrook,33170,North,FALSE,FALSE,53481
Northfield,5420,North,FALSE,FALSE,53663
Northlake,12323,West,FALSE,FALSE,53871
Oak Brook,7,West,TRUE,TRUE,54534
Oak Forest,27962,South,FALSE,FALSE,54638
Oak Lawn,56690,Southwest,FALSE,FALSE,54820
Oak Park,51878,OOJ,FALSE,FALSE,54885
Olympia Fields,4988,South,FALSE,FALSE,55938
Orland Hills,7149,Southwest,FALSE,FALSE,56627
Orland Park,56583,Southwest,TRUE,FALSE,56640
Palatine,68557,North,FALSE,FALSE,57225
Palos Heights,12515,Southwest,FALSE,FALSE,57381
Palos Hills,17484,Southwest,FALSE,FALSE,57394
Palos Park,4847,Southwest,FALSE,FALSE,57407
Park Forest,18672,South,TRUE,FALSE,57732
Park Ridge,37480,North,FALSE,FALSE,57875
Phoenix,1964,South,FALSE,FALSE,59572
Posen,5987,South,FALSE,FALSE,61314
Prospect Heights,16256,North,FALSE,FALSE,62016
Richton Park,13646,South,FALSE,FALSE,63706
River Forest,11172,West,FALSE,FALSE,64304
River Grove,10227,West,FALSE,FALSE,64343
Riverdale,13549,South,FALSE,FALSE,64278
Riverside,8875,West,FALSE,FALSE,64421
Riverwoods,0,North,TRUE,TRUE,64538
Robbins,5337,South,FALSE,FALSE,64616
Rolling Meadows,24099,North,FALSE,FALSE,65338
Roselle,3723,North,TRUE,FALSE,65806
Rosemont,4202,West,FALSE,FALSE,65819
Sauk Village,10506,South,FALSE,FALSE,67769
Schaumburg,74227,North,FALSE,FALSE,68003
Schiller Park,11793,West,FALSE,FALSE,68081
Skokie,64784,OOJ,FALSE,FALSE,70122
South Barrington,4565,North,FALSE,FALSE,70564
South Chicago Heights,4139,South,FALSE,FALSE,70629
South Holland,22030,South,FALSE,FALSE,70850
Steger,4103,South,TRUE,FALSE,72520
Stickney,6786,OOJ,FALSE,FALSE,72676
Stone Park,4946,West,FALSE,FALSE,72923
Streamwood,39858,North,FALSE,FALSE,73157
Summit,11054,Southwest,FALSE,FALSE,73638
Thornton,2338,South,FALSE,FALSE,75185
Tinley Park,49236,South,TRUE,FALSE,75484
University Park,273,South,TRUE,TRUE,76935
Westchester,16718,West,FALSE,FALSE,80047
Western Springs,12975,West,FALSE,FALSE,80242
Wheeling,37642,North,TRUE,FALSE,81087
Willow Springs,5524,Southwest,FALSE,FALSE,82049
Wilmette,27087,North,FALSE,FALSE,82075
Winnetka,12187,North,FALSE,FALSE,82530
Woodridge,0,Southwest,TRUE,TRUE,83245
Worth,10789,Southwest,FALSE,FALSE,83518
