state,pop,state_name
AL,4779736,Alabama
AK,710231,Alaska
AZ,6392017,Arizona
AR,2915918,Arkansas
CA,37253956,California
LA,4533372,Louisiana
KY,4339367,Kentucky
CO,5029196,Colorado
CT,3574097,Connecticut
DE,897934,Delaware
DC,601723,District of Columbia
FL,18801310,Florida
GA,9687653,Georgia
HI,1360301,Hawaii
ID,1567582,Idaho
IL,12830632,Illinois
IN,6483802,Indiana
IA,3046355,Iowa
KS,2853118,Kansas
ME,1328361,Maine
MD,5773552,Maryland
MA,6547629,Massachusetts
MI,9883640,Michigan
MN,5303925,Minnesota
MS,2967297,Mississippi
MO,5988927,Missouri
MT,989415,Montana
NE,1826341,Nebraska
NV,2700551,Nevada
NH,1316470,New Hampshire
NJ,8791894,New Jersey
NM,2059179,New Mexico
NY,19378102,New York
NC,9535483,North Carolina
ND,672591,North Dakota
OH,11536504,Ohio
OK,3751351,Oklahoma
OR,3831074,Oregon
PA,12702379,Pennsylvania
RI,1052567,Rhode Island
SC,4625364,South Carolina
SD,814180,South Dakota
TN,6346105,Tennessee
TX,25145561,Texas
UT,2763885,Utah
VT,625741,Vermont
VA,8001024,Virginia
WA,6724540,Washington
WV,1852994,West Virginia
WI,5686986,Wisconsin
WY,563626,Wyoming
PR,3725789,Puerto Rico
