Municipality,Name,District
Alsip,Alsip,Southwest
Arlington Heights,Arlington Heights,North
Barrington,Barrington,North
Barrington Hills (pt.),Barrington Hills,North
Bartlett (pt.),Bartlett,North
Bedford Park,Bedford Park,Southwest
Bellwood,Bellwood,West
Berkeley,Berkeley,West
Berwyn,Berwyn,West
Blue Island,Blue Island,Southwest
Bridgeview,Bridgeview,Southwest
Broadview,Broadview,West
Brookfield,Brookfield,West
Buffalo Grove (pt.),Buffalo Grove,North
Burbank,Burbank,OOJ
Burnham,Burnham,South
Burr Ridge (pt.),Burr Ridge,West
Calumet City,Calumet City,South
Calumet Park,Calumet Park,Southwest
Chicago Heights,Chicago Heights,South
Chicago Ridge,Chicago Ridge,Southwest
Cicero,Cicero,West
Country Club Hills,Country Club Hills,South
Countryside,Countryside,West
Crestwood,Crestwood,Southwest
Des Plaines,Des Plaines,North
Dixmoor,Dixmoor,South
Dolton,Dolton,South
East Hazel Crest,East Hazel Crest,South
Elgin (pt.),Elgin,North
Elk Grove Village,Elk Grove Village,North
Elmwood Park,Elmwood Park,West
Evanston,Evanston,OOJ
Evergreen Park,Evergreen Park,Southwest
Flossmoor,Flossmoor,South
Ford Heights,Ford Heights,South
Forest Park,Forest Park,West
Forest View,Forest View,West
Franklin Park,Franklin Park,West
Glencoe,Glencoe,North
Glenview,Glenview,North
Glenwood,Glenwood,South
Golf,Golf,North
Hanover Park (pt.),Hanover Park,North
Harvey,Harvey,South
Harwood Heights,Harwood Heights,West
Hazel Crest,Hazel Crest,South
Hickory Hills,Hickory Hills,Southwest
Hillside,Hillside,West
Hinsdale (pt.),Hinsdale,West
Hodgkins (pt.),Hodgkins,West
Hoffman Estates,Hoffman Estates,North
Hometown,Hometown,Southwest
Homewood,Homewood,South
Indian Head Park,Indian Head Park,West
Inverness,Inverness,North
Justice,Justice,Southwest
Kenilworth,Kenilworth,North
La Grange,La Grange,West
La Grange Park,La Grange Park,West
Lansing,Lansing,South
Lemont (pt.),Lemont,Southwest
Lincolnwood,Lincolnwood,North
Lynwood,Lynwood,South
Lyons,Lyons,West
Markham,Markham,South
Matteson,Matteson,South
Maywood,Maywood,West
Mccook,Mccook,West
Melrose Park,Melrose Park,West
Merrionette Park,Merrionette Park,Southwest
Midlothian,Midlothian,South
Morton Grove,Morton Grove,North
Mount Prospect,Mount Prospect,North
Niles,Niles,North
Norridge,Norridge,West
North Riverside,North Riverside,West
Northbrook,Northbrook,North
Northfield,Northfield,North
Northlake,Northlake,West
Oak Forest,Oak Forest,South
Oak Lawn,Oak Lawn,Southwest
Oak Park,Oak Park,OOJ
Olympia Fields,Olympia Fields,South
Orland Hills,Orland Hills,Southwest
Orland Park (pt.),Orland Park,Southwest
Palatine,Palatine,North
Palos Heights,Palos Heights,Southwest
Palos Hills,Palos Hills,Southwest
Palos Park,Palos Park,Southwest
Park Forest (pt.),Park Forest,South
Park Ridge,Park Ridge,North
Phoenix,Phoenix,South
Posen,Posen,South
Prospect Heights,Prospect Heights,North
Richton Park,Richton Park,South
River Forest,River Forest,West
River Grove,River Grove,West
Riverdale,Riverdale,South
Riverside,Riverside,West
Robbins,Robbins,South
Rolling Meadows,Rolling Meadows,North
Roselle (pt.),Roselle,North
Rosemont,Rosemont,West
Sauk Village,Sauk Village,South
Schaumburg,Schaumburg,North
Schiller Park,Schiller Park,West
Skokie,Skokie,OOJ
South Barrington,South Barrington,North
South Chicago Heights,South Chicago Heights,South
South Holland,South Holland,South
Steger (pt.),Steger,South
Stickney,Stickney,OOJ
Stone Park,Stone Park,West
Streamwood,Streamwood,North
Summit,Summit,Southwest
Thornton,Thornton,South
Tinley Park (pt.),Tinley Park,South
Westchester,Westchester,West
Western Springs,Western Springs,West
Wheeling,Wheeling,North
Willow Springs,Willow Springs,Southwest
Wilmette,Wilmette,North
Winnetka,Winnetka,North
Worth,Worth,Southwest
