municipality,zip_code
Alsip,60803
Arlington Heights,60004
Arlington Heights,60005
Arlington Heights,60006
Barrington,60010
Barrington,60011
Barrington Hills,60010
Barrington Hills,60021
Barrington Hills,60102
Bartlett,60103
Bartlett,60133
Bedford Park,60455
Bedford Park,60458
Bedford Park,60459
Bedford Park,60499
Bedford Park,60501
Bedford Park,60638
Bellwood,60104
Bensenville,60105
Bensenville,60106
Bensenville,60399
Berkeley,60163
Berwyn,60402
Blue Island,60406
Bridgeview,60455
Broadview,60153
Broadview,60155
Brookfield,60513
Buffalo Grove,60089
Burbank,60459
Burnham,60633
Burr Ridge,60527
Calumet City,60409
Calumet Park,60643
Calumet Park,60827
Chicago,60601
Chicago,60602
Chicago,60603
Chicago,60604
Chicago,60605
Chicago,60606
Chicago,60607
Chicago,60608
Chicago,60609
Chicago,60610
Chicago,60611
Chicago,60612
Chicago,60613
Chicago,60614
Chicago,60615
Chicago,60616
Chicago,60617
Chicago,60618
Chicago,60619
Chicago,60620
Chicago,60621
Chicago,60622
Chicago,60623
Chicago,60624
Chicago,60625
Chicago,60626
Chicago,60628
Chicago,60629
Chicago,60630
Chicago,60631
Chicago,60632
Chicago,60633
Chicago,60634
Chicago,60636
Chicago,60637
Chicago,60638
Chicago,60639
Chicago,60640
Chicago,60641
Chicago,60642
Chicago,60643
Chicago,60644
Chicago,60645
Chicago,60646
Chicago,60647
Chicago,60649
Chicago,60651
Chicago,60652
Chicago,60653
Chicago,60654
Chicago,60655
Chicago,60656
Chicago,60657
Chicago,60659
Chicago,60660
Chicago,60661
Chicago,60664
Chicago,60666
Chicago,60668
Chicago,60669
Chicago,60670
Chicago,60673
Chicago,60674
Chicago,60675
Chicago,60677
Chicago,60678
Chicago,60680
Chicago,60681
Chicago,60682
Chicago,60684
Chicago,60685
Chicago,60686
Chicago,60687
Chicago,60688
Chicago,60689
Chicago,60690
Chicago,60691
Chicago,60693
Chicago,60694
Chicago,60695
Chicago,60696
Chicago,60697
Chicago,60699
Chicago,60701
Chicago,60706
Chicago,60707
Chicago,60803
Chicago,60804
Chicago,60805
Chicago,60827
Chicago Heights,60411
Chicago Heights,60412
Chicago Ridge,60415
Cicero,60804
Country Club Hills,60478
Countryside,60525
Crestwood,60418
Crestwood,60445
Crete,60417
Deer Park,60010
Deer Park,60047
Deer Park,60074
Deerfield,60015
Des Plaines,60016
Des Plaines,60017
Des Plaines,60018
Des Plaines,60019
Dixmoor,60406
Dixmoor,60426
Dolton,60419
East Dundee,60118
East Hazel Crest,60429
Elgin,60120
Elgin,60121
Elgin,60123
Elgin,60124
Elk Grove Village,60007
Elk Grove Village,60009
Elmhurst,60126
Elmwood Park,60707
Evanston,60201
Evanston,60202
Evanston,60203
Evanston,60204
Evanston,60208
Evergreen Park,60805
Flossmoor,60422
Ford Heights,60411
Forest Park,60130
Forest View,60402
Forest View,60638
Frankfort,60423
Franklin Park,60131
Glencoe,60022
Glenview,60025
Glenview,60026
Glenwood,60425
Golf,60029
Hanover Park,60133
Harvey,60426
Harvey,60428
Harwood Heights,60656
Harwood Heights,60706
Hazel Crest,60429
Hickory Hills,60457
Highland Park,60035
Highland Park,60037
Hillside,60162
Hillside,60163
Hinsdale,60521
Hinsdale,60522
Hinsdale,60523
Hodgkins,60525
Hoffman Estates,60010
Hoffman Estates,60067
Hoffman Estates,60169
Hoffman Estates,60179
Hoffman Estates,60192
Hoffman Estates,60195
Hoffman Estates,60196
Homer Glen,60441
Homer Glen,60491
Hometown,60456
Homewood,60422
Homewood,60430
Indian Head Park,60525
Inverness,60010
Inverness,60067
Justice,60458
Kenilworth,60043
La Grange,60525
La Grange,60526
La Grange Park,60525
La Grange Park,60526
Lansing,60438
Lemont,60439
Lincolnwood,60646
Lincolnwood,60712
Lynwood,60411
Lyons,60534
Markham,60426
Markham,60428
Matteson,60443
Maywood,60153
Maywood,60155
McCook,60525
Melrose Park,60160
Melrose Park,60163
Melrose Park,60164
Melrose Park,60165
Melrose Parl,60161
Merrionette Park,60655
Merrionette Park,60803
Midlothian,60445
Morton Grove,60053
Mount Prospect,60056
Niles,60714
Norridge,60656
Norridge,60706
North Riverside,60546
Northbrook,60062
Northbrook,60065
Northfield,60093
Northlake,60164
Oak Brook,60521
Oak Brook,60522
Oak Brook,60523
Oak Forest,60452
Oak Lawn,60453
Oak Lawn,60454
Oak Lawn,60455
Oak Lawn,60456
Oak Lawn,60457
Oak Lawn,60458
Oak Lawn,60459
Oak Park,60301
Oak Park,60302
Oak Park,60303
Oak Park,60304
Olympia Fields,60461
Orland Hills,60477
Orland Hills,60487
Orland Park,60462
Orland Park,60467
Palatine,60038
Palatine,60055
Palatine,60067
Palatine,60074
Palatine,60078
Palatine,60094
Palatine,60095
Palos Heights,60463
Palos Hills,60465
Palos Park,60464
Park Forest,60466
Park Forest,60484
Park Ridge,60068
Phoenix,60426
Posen,60469
Prospect Heights,60070
Richton Park,60471
River Forest,60305
River Grove,60171
Riverdale,60827
Riverside,60546
Riverwoods,60015
Robbins,60472
Rolling Meadows,60008
Roselle,60172
Rosemont,60016
Rosemont,60019
Sauk Village,60411
Schaumburg,60159
Schaumburg,60168
Schaumburg,60173
Schaumburg,60179
Schaumburg,60193
Schaumburg,60194
Schaumburg,60195
Schaumburg,60196
Schiller Park,60131
Schiller Park,60176
Skokie,60076
Skokie,60077
South Barrington,60010
South Chicago Heights,60411
South Holland,60473
Steger,60475
Stickney,60402
Stickney,60638
Stone Park,60165
Streamwood,60107
Summit,60501
Thornton,60476
Tinley Park,60477
Tinley Park,60478
Tinley Park,60487
University Park,60466
University Park,60484
Westchester,60154
Western Springs,60558
Wheeling,60090
Willow Springs,60480
Wilmette,60091
Winnetka,60093
Woodridge,60517
Worth,60482
