age,standard_pop,proportion
00 years,3794901,0.013818049
01-04 years,15191619,0.055315943
05-09 years,19919840,0.07253241
10-14 years,20056779,0.073031035
15-19 years,19819518,0.072167116
20-24 years,18257225,0.066478472
25-29 years,17722067,0.064529847
30-34 years,19511370,0.071045083
35-39 years,22179956,0.080761977
40-44 years,22479229,0.081851695
45-49 years,19805793,0.072117141
50-54 years,17224359,0.062717586
55-59 years,13307234,0.048454493
60-64 years,10654272,0.03879449
65-69 years,9409940,0.03426361
70-74 years,8725574,0.031771687
75-79 years,7414559,0.026998
80-84 years,4900234,0.017842803
85+ years,4259173,0.015508562
